Disease,Medicine,Diet,Precaution
Common Cold,Paracetamol,"Warm fluids, Fruits","Rest, Drink plenty of water"
Influenza,Oseltamivir,"High protein diet, Fluids","Rest, Avoid crowded places"
COVID-19,Paracetamol,"Vitamin C, Protein rich diet","Isolation, Hydration"
Malaria,Artemisinin Combination Therapy,"High calorie diet, Plenty of fluids","Mosquito protection"
Dengue,Paracetamol,"Papaya leaf juice, Fluids","Avoid mosquito bites"
Typhoid,Cefixime,"Soft foods, Fluids","Complete antibiotics"
Tuberculosis,Rifampicin + Isoniazid,"High calorie diet","Complete TB treatment"
Pneumonia,Amoxicillin,"Warm soup","Complete antibiotics"
Bronchitis,Azithromycin,"Warm liquids","Avoid smoking"
Asthma,Salbutamol Inhaler,"Healthy balanced diet","Avoid dust and smoke"
Sinusitis,Amoxicillin,"Warm fluids","Steam inhalation"
Migraine,Sumatriptan,"Hydration","Avoid stress"
Hypertension,Amlodipine,"Low salt diet","Exercise regularly"
Hypotension,Fludrocortisone,"Increase salt intake","Drink more water"
Diabetes,Metformin,"Low sugar diet","Exercise daily"
Anemia,Iron Supplements,"Iron rich foods","Regular blood tests"
Chickenpox,Calamine Lotion,"Soft foods","Avoid scratching"
Measles,Paracetamol,"Soft diet","Isolation"
Mumps,Ibuprofen,"Soft foods","Rest"
Hepatitis A,Supportive Care,"Low fat diet","Maintain hygiene"
Appendicitis,Surgery,"Liquid diet","Immediate surgery"
Gastritis,Omeprazole,"Avoid spicy foods","Avoid alcohol"
GERD,Antacids,"Small frequent meals","Avoid late-night meals"
Peptic Ulcer,Omeprazole,"Soft diet","Avoid spicy foods"
Food Poisoning,ORS + Ciprofloxacin,"ORS, Banana, Rice","Drink clean water"
Heart Attack,Aspirin,"Low fat diet","Immediate hospitalization"
Angina,Nitroglycerin,"Low cholesterol diet","Avoid exertion"
Heart Failure,Furosemide,"Low sodium diet","Monitor fluid intake"
Arrhythmia,Beta Blockers,"Heart healthy diet","Avoid caffeine"
Stroke,Aspirin,"Soft foods","Immediate medical care"
Epilepsy,Sodium Valproate,"Balanced diet","Avoid sleep deprivation"
Parkinson's Disease,Levodopa,"High fiber diet","Regular exercise"
Alzheimer's Disease,Donepezil,"Mediterranean diet","Mental exercises"
Multiple Sclerosis,Corticosteroids,"Vitamin D rich diet","Regular physiotherapy"
Meningitis,Ceftriaxone,"Hydration","Immediate hospitalization"
Hyperthyroidism,Methimazole,"High calorie diet","Regular thyroid tests"
Hypothyroidism,Levothyroxine,"Iodine rich foods","Take medicine regularly"
Cushing Syndrome,Ketoconazole,"Low calorie diet","Monitor blood pressure"
Addison Disease,Hydrocortisone,"Balanced diet","Regular checkups"
Kidney Stones,Tamsulosin,"Drink plenty of water","Reduce salt intake"
Kidney Infection,Ciprofloxacin,"Increase fluids","Complete antibiotics"
Chronic Kidney Disease,ACE Inhibitors,"Low protein diet","Regular dialysis if advised"
Urinary Tract Infection,Nitrofurantoin,"Cranberry juice","Maintain hygiene"
Prostate Enlargement,Tamsulosin,"Healthy diet","Regular urology checkups"
Bladder Infection,Nitrofurantoin,"Drink water","Maintain hygiene"
Gallstones,Ursodeoxycholic Acid,"Low fat diet","Avoid fatty foods"
Pancreatitis,Pain Relievers,"Liquid diet","Avoid alcohol"
Liver Cirrhosis,Diuretics,"Low sodium diet","Avoid alcohol"
Crohn's Disease,Mesalamine,"Low fiber diet","Avoid smoking"
Ulcerative Colitis,Sulfasalazine,"Low residue diet","Regular follow-up"
Psoriasis,Topical Corticosteroids,"Balanced diet","Keep skin moisturized"
Eczema,Hydrocortisone Cream,"Avoid allergens","Use moisturizer regularly"
Acne,Benzoyl Peroxide,"Low oily foods","Wash face regularly"
Fungal Infection,Clotrimazole Cream,"Balanced diet","Keep skin dry"
Cellulitis,Cephalexin,"High protein diet","Complete antibiotics"
Scabies,Permethrin Cream,"Balanced diet","Wash clothes and bedding"
Vitiligo,Topical Steroids,"Vitamin rich diet","Avoid excessive sun"
Rosacea,Metronidazole Gel,"Avoid spicy foods","Protect skin from sunlight"
Shingles,Acyclovir,"Soft diet","Avoid contact with infected skin"
Impetigo,Mupirocin Ointment,"Balanced diet","Maintain hygiene"

Conjunctivitis,Antibiotic Eye Drops,"Vitamin A rich foods","Avoid touching eyes"
Glaucoma,Timolol Eye Drops,"Healthy diet","Regular eye checkups"
Cataract,Cataract Surgery,"Vitamin rich diet","Wear sunglasses"
Dry Eye Syndrome,Artificial Tears,"Hydration","Limit screen time"
Retinal Detachment,Eye Surgery,"Balanced diet","Immediate treatment"
Macular Degeneration,AREDS Vitamins,"Leafy vegetables","Regular eye exams"
Keratitis,Antibiotic Eye Drops,"Healthy diet","Avoid contact lenses"
Uveitis,Corticosteroid Eye Drops,"Balanced diet","Regular ophthalmology visits"
Color Blindness,No Specific Medicine,"Balanced diet","Regular eye care"
Stye,Warm Compress,"Balanced diet","Maintain eyelid hygiene"

Otitis Media,Amoxicillin,"Warm fluids","Complete antibiotics"
Tonsillitis,Amoxicillin,"Soft foods","Rest"
Laryngitis,Voice Rest,"Warm fluids","Avoid shouting"
Pharyngitis,Azithromycin,"Soft foods","Drink warm water"
Hearing Loss,Hearing Aid,"Balanced diet","Protect ears from loud sounds"