Disease,Department,Severity,CoreSymptoms,OptionalSymptoms
Common Cold,General Medicine,Low,"runny nose,sneezing,sore throat","cough,headache,mild fever,fatigue,nasal congestion"
Influenza,General Medicine,Medium,"high fever,body ache,chills","fatigue,cough,sore throat,headache,loss of appetite"
COVID-19,Pulmonology,High,"fever,dry cough,loss of smell","loss of taste,shortness of breath,fatigue,sore throat,headache"
Malaria,Infectious Disease,High,"high fever,chills,sweating","headache,nausea,vomiting,fatigue,body ache"
Dengue,Infectious Disease,High,"high fever,joint pain,skin rash","headache,muscle pain,nausea,vomiting,fatigue"
Typhoid,General Medicine,High,"prolonged fever,abdominal pain,weakness","headache,constipation,loss of appetite,fatigue"
Tuberculosis,Pulmonology,High,"persistent cough,weight loss,night sweats","fever,chest pain,fatigue,loss of appetite"
Pneumonia,Pulmonology,High,"fever,cough,chest pain","shortness of breath,chills,fatigue,difficulty breathing"
Bronchitis,Pulmonology,Medium,"persistent cough,mucus production","chest discomfort,mild fever,fatigue,shortness of breath"
Asthma,Pulmonology,Medium,"shortness of breath,wheezing,chest tightness","cough,difficulty breathing,fatigue"
Sinusitis,ENT,Low,"facial pain,nasal congestion","headache,runny nose,loss of smell,sneezing"
Migraine,Neurology,Medium,"severe headache,nausea","vomiting,light sensitivity,dizziness,blurred vision"
Hypertension,Cardiology,Medium,"headache,dizziness","blurred vision,chest pain,nosebleed,fatigue"
Hypotension,Cardiology,Medium,"low blood pressure,dizziness","fainting,blurred vision,nausea,fatigue"
Diabetes,Endocrinology,High,"frequent urination,increased thirst","weight loss,blurred vision,fatigue,increased appetite"
Anemia,Hematology,Medium,"fatigue,pale skin","weakness,dizziness,shortness of breath,cold hands"
Chickenpox,Dermatology,Medium,"itching,skin rash,blisters","fever,fatigue,loss of appetite"
Measles,Infectious Disease,High,"fever,skin rash,red eyes","runny nose,cough,sore throat"
Mumps,Infectious Disease,Medium,"swollen glands,fever","headache,muscle pain,fatigue,loss of appetite"
Hepatitis A,Gastroenterology,High,"jaundice,dark urine","fatigue,nausea,vomiting,abdominal pain"
Appendicitis,Surgery,High,"abdominal pain,nausea","vomiting,loss of appetite,fever"
Gastritis,Gastroenterology,Medium,"abdominal pain,heartburn","nausea,vomiting,bloating,loss of appetite"
GERD,Gastroenterology,Medium,"acid reflux,heartburn","chest pain,difficulty swallowing,sore throat"
Peptic Ulcer,Gastroenterology,High,"abdominal pain,black stool","heartburn,nausea,vomiting,bloating"
Food Poisoning,Gastroenterology,Medium,"vomiting,diarrhea,abdominal pain","fever,nausea,dehydration"
Heart Attack,Cardiology,Critical,"chest pain,shortness of breath","left arm pain,sweating,nausea,dizziness"
Angina,Cardiology,High,"chest pain,chest tightness","shortness of breath,fatigue,dizziness"
Heart Failure,Cardiology,High,"shortness of breath,fatigue","swelling,chest pain,persistent cough"
Arrhythmia,Cardiology,Medium,"palpitations,dizziness","chest pain,fainting,shortness of breath"
Stroke,Neurology,Critical,"difficulty speaking,numbness","paralysis,confusion,loss of balance,blurred vision"
Epilepsy,Neurology,High,"seizures,confusion","loss of consciousness,fatigue,memory loss"
Parkinson's Disease,Neurology,High,"tremors,difficulty walking","muscle stiffness,loss of balance"
Alzheimer's Disease,Neurology,High,"memory loss,confusion","difficulty speaking,difficulty walking"
Multiple Sclerosis,Neurology,High,"numbness,tingling","blurred vision,loss of balance,fatigue"
Meningitis,Neurology,Critical,"high fever,headache","stiff neck,vomiting,confusion"
Hyperthyroidism,Endocrinology,Medium,"weight loss,increased appetite","fatigue,sweating,tremors"
Hypothyroidism,Endocrinology,Medium,"fatigue,weight gain","dry skin,hair loss,constipation"
Cushing Syndrome,Endocrinology,High,"weight gain,fatigue","high blood pressure,muscle weakness"
Addison Disease,Endocrinology,High,"weight loss,fatigue","low blood pressure,dizziness"
Kidney Stones,Urology,High,"flank pain,blood in urine","burning urination,nausea,vomiting"
Kidney Infection,Urology,High,"fever,flank pain","burning urination,frequent urination"
Chronic Kidney Disease,Nephrology,High,"fatigue,swelling","shortness of breath,nausea"
Urinary Tract Infection,Urology,Medium,"burning urination,frequent urination","pelvic pain,blood in urine"
Prostate Enlargement,Urology,Medium,"frequent urination,urinary retention","weak urine flow,pelvic pain"
Bladder Infection,Urology,Medium,"burning urination,pelvic pain","frequent urination,blood in urine"
Gallstones,Gastroenterology,High,"abdominal pain,nausea","vomiting,fever,bloating"
Pancreatitis,Gastroenterology,High,"abdominal pain,vomiting","fever,nausea,bloating"
Liver Cirrhosis,Gastroenterology,High,"jaundice,fatigue","abdominal pain,swelling"
Crohn's Disease,Gastroenterology,High,"abdominal pain,diarrhea","weight loss,fatigue"
Ulcerative Colitis,Gastroenterology,High,"bloody stool,abdominal pain","diarrhea,fatigue"
Psoriasis,Dermatology,Medium,"skin rash,itching","redness,dry skin,scaling"
Eczema,Dermatology,Medium,"itching,redness","dry skin,skin rash"
Acne,Dermatology,Low,"skin rash","redness,swelling"
Fungal Infection,Dermatology,Medium,"itching,redness","skin rash,blisters"
Cellulitis,Dermatology,High,"redness,swelling","fever,skin rash"
Scabies,Dermatology,Medium,"itching,skin rash","redness,blisters"
Vitiligo,Dermatology,Low,"skin rash","dry skin"
Rosacea,Dermatology,Low,"redness","skin rash,burning sensation"
Shingles,Dermatology,High,"blisters,skin rash","pain,fever"
Impetigo,Dermatology,Medium,"skin rash,blisters","itching"

Conjunctivitis,Ophthalmology,Low,"eye redness,watery eyes","eye pain,itching"
Glaucoma,Ophthalmology,Critical,"eye pain,blurred vision","headache,nausea"
Cataract,Ophthalmology,Medium,"blurred vision","light sensitivity"
Dry Eye Syndrome,Ophthalmology,Low,"dry eyes","eye redness"
Retinal Detachment,Ophthalmology,Critical,"loss of vision","flashes,floaters"
Macular Degeneration,Ophthalmology,High,"blurred vision","loss of vision"
Keratitis,Ophthalmology,High,"eye pain,eye redness","watery eyes"
Uveitis,Ophthalmology,High,"eye pain","blurred vision,light sensitivity"
Color Blindness,Ophthalmology,Low,"blurred vision","difficulty seeing colors"
Stye,Ophthalmology,Low,"eye redness","swelling,eye pain"

Otitis Media,ENT,Medium,"ear pain","fever,hearing loss"
Tonsillitis,ENT,Medium,"sore throat,fever","difficulty swallowing"
Laryngitis,ENT,Low,"loss of voice","sore throat,cough"
Pharyngitis,ENT,Medium,"sore throat","fever,difficulty swallowing"
Hearing Loss,ENT,Medium,"hearing loss","ringing in ears"